epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.9775,1.46043,2.05863,1.28647,0.67623,0.48636,0.57453,0.32564,1.44084,1.86138,1.45194,0.00332621,0.00332621,0.00332621
2,175.344,1.45386,1.48553,1.24738,0.64566,0.56064,0.62004,0.37144,1.43041,1.66742,1.50488,0.00662658,0.00662658,0.00662658
3,259.414,1.54314,1.47938,1.30577,0.64722,0.49878,0.56884,0.317,1.48955,1.52832,1.59432,0.00989395,0.00989395,0.00989395
4,342.947,1.59758,1.48399,1.34837,0.65725,0.56228,0.602,0.35524,1.40341,1.49034,1.55512,0.0098515,0.0098515,0.0098515
5,426.324,1.55385,1.39553,1.33893,0.72467,0.57574,0.67453,0.39023,1.4287,1.257,1.55602,0.009802,0.009802,0.009802
6,509.83,1.51654,1.31707,1.3064,0.71298,0.59206,0.6815,0.42861,1.30419,1.22873,1.47803,0.0097525,0.0097525,0.0097525
7,593.042,1.49034,1.25871,1.28931,0.71874,0.58378,0.65772,0.40862,1.42813,1.38255,1.56382,0.009703,0.009703,0.009703
8,676.494,1.47061,1.23589,1.28615,0.72057,0.58305,0.67407,0.41897,1.36307,1.21711,1.51772,0.0096535,0.0096535,0.0096535
9,759.918,1.44052,1.18928,1.27253,0.72932,0.62689,0.71272,0.44353,1.2913,1.14347,1.51877,0.009604,0.009604,0.009604
10,843.508,1.41843,1.1692,1.25974,0.7864,0.63662,0.7505,0.48699,1.19668,1.02428,1.3873,0.0095545,0.0095545,0.0095545
11,927.266,1.4081,1.13398,1.25007,0.75671,0.64515,0.73826,0.48477,1.22959,1.07954,1.40907,0.009505,0.009505,0.009505
12,1010.59,1.38906,1.11376,1.23985,0.73305,0.65709,0.73662,0.47659,1.22971,1.04258,1.42961,0.0094555,0.0094555,0.0094555
13,1093.99,1.37662,1.10339,1.233,0.76859,0.68027,0.77389,0.50951,1.16844,0.93347,1.37367,0.009406,0.009406,0.009406
14,1177.47,1.3608,1.06286,1.2273,0.78843,0.68753,0.78257,0.50772,1.21998,0.9436,1.38043,0.0093565,0.0093565,0.0093565
15,1260.7,1.35346,1.06071,1.2237,0.76673,0.66122,0.75778,0.49669,1.18458,0.97971,1.39323,0.009307,0.009307,0.009307
16,1344.1,1.34586,1.04459,1.21321,0.79997,0.67097,0.78052,0.52147,1.13851,0.89387,1.35719,0.0092575,0.0092575,0.0092575
17,1427.36,1.33442,1.02762,1.20462,0.80549,0.68242,0.7911,0.52676,1.15813,0.90045,1.34976,0.009208,0.009208,0.009208
18,1510.88,1.31693,1.02188,1.20089,0.79794,0.70823,0.7971,0.54204,1.10326,0.85461,1.31922,0.0091585,0.0091585,0.0091585
19,1594.34,1.31833,1.01718,1.20436,0.7896,0.67728,0.77541,0.51134,1.20735,0.92752,1.38417,0.009109,0.009109,0.009109
