epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7272,1.52212,2.43438,1.59074,0.83595,0.71562,0.79842,0.46769,1.39155,1.62658,1.52136,0.00332036,0.00332036,0.00332036
2,83.1893,1.45315,1.87554,1.48613,0.80955,0.57119,0.6794,0.41148,1.50742,1.56409,1.7499,0.00662076,0.00662076,0.00662076
3,123.48,1.53005,1.79086,1.5501,0.76933,0.59408,0.69966,0.40008,1.49807,1.43582,1.66236,0.00988816,0.00988816,0.00988816
4,163.633,1.59501,1.82134,1.62313,0.70321,0.56563,0.60341,0.32106,1.86049,1.49674,2.07698,0.0098515,0.0098515,0.0098515
5,203.776,1.55405,1.7374,1.59767,0.56803,0.60938,0.57438,0.29541,1.82091,1.69981,1.96572,0.009802,0.009802,0.009802
6,243.964,1.51777,1.6507,1.57967,0.82012,0.60938,0.70349,0.36145,1.75463,1.49886,1.92593,0.0097525,0.0097525,0.0097525
7,284.175,1.48165,1.58161,1.54575,0.79306,0.62274,0.73027,0.42619,1.53009,1.22427,1.69171,0.009703,0.009703,0.009703
8,324.272,1.45661,1.52393,1.53896,0.92177,0.75625,0.84014,0.52925,1.28356,0.9546,1.47443,0.0096535,0.0096535,0.0096535
9,364.648,1.42357,1.47058,1.51315,0.87396,0.78006,0.84243,0.60307,1.08555,0.85846,1.39877,0.009604,0.009604,0.009604
10,404.929,1.40735,1.4426,1.49396,0.86267,0.7625,0.83906,0.59553,1.05457,0.85782,1.3382,0.0095545,0.0095545,0.0095545
11,445.236,1.3694,1.39694,1.46901,0.84117,0.81096,0.8613,0.613,1.07347,0.77934,1.36134,0.009505,0.009505,0.009505
12,485.412,1.35202,1.3571,1.46046,0.85746,0.65798,0.78915,0.49605,1.36555,0.98925,1.52302,0.0094555,0.0094555,0.0094555
13,525.74,1.3486,1.34078,1.45838,0.89095,0.7375,0.81211,0.55398,1.21186,0.95073,1.45449,0.009406,0.009406,0.009406
14,565.85,1.31976,1.30715,1.44349,0.9244,0.80312,0.87155,0.61954,1.05621,0.73741,1.34002,0.0093565,0.0093565,0.0093565
