epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4493,1.96717,2.88014,1.89484,0.45868,0.48735,0.42443,0.24084,1.67886,2.01503,1.55193,0.000659176,0.000659176,0.000659176
2,28.4628,1.55426,1.83588,1.49078,0.56362,0.5044,0.5438,0.33281,1.54157,1.72626,1.504,0.00131928,0.00131928,0.00131928
3,41.0787,1.45037,1.67982,1.41611,0.61851,0.544,0.59475,0.3787,1.44164,1.61794,1.40769,0.00197278,0.00197278,0.00197278
4,53.7331,1.43022,1.62332,1.39834,0.62687,0.53245,0.59212,0.37248,1.51869,1.62862,1.49813,0.0019703,0.0019703,0.0019703
5,66.3068,1.37809,1.51885,1.35589,0.64904,0.55643,0.62058,0.40399,1.40514,1.53623,1.36664,0.0019604,0.0019604,0.0019604
6,79.0031,1.36572,1.50757,1.35465,0.64209,0.59209,0.64765,0.42509,1.36749,1.46584,1.37011,0.0019505,0.0019505,0.0019505
7,91.7809,1.31425,1.44633,1.3213,0.64981,0.58996,0.66006,0.44218,1.28444,1.41652,1.29377,0.0019406,0.0019406,0.0019406
8,104.429,1.28423,1.41722,1.30087,0.64174,0.55886,0.63316,0.42024,1.3624,1.46181,1.37828,0.0019307,0.0019307,0.0019307
9,116.885,1.29343,1.41986,1.31019,0.64989,0.6065,0.6794,0.45277,1.31484,1.4912,1.33211,0.0019208,0.0019208,0.0019208
10,129.596,1.26706,1.38198,1.29268,0.6473,0.60451,0.67065,0.44468,1.3538,1.37326,1.37138,0.0019109,0.0019109,0.0019109
11,142.304,1.24225,1.34976,1.27298,0.66576,0.59131,0.67593,0.45671,1.27693,1.35797,1.30652,0.001901,0.001901,0.001901
12,154.771,1.25177,1.36153,1.28015,0.63902,0.64559,0.697,0.4784,1.1957,1.3614,1.24245,0.0018911,0.0018911,0.0018911
13,167.161,1.22727,1.34085,1.27185,0.68403,0.60946,0.70672,0.49325,1.18032,1.29969,1.24653,0.0018812,0.0018812,0.0018812
14,179.551,1.2109,1.31322,1.25449,0.68236,0.57921,0.67677,0.46076,1.23221,1.42149,1.29003,0.0018713,0.0018713,0.0018713
15,192.097,1.19358,1.27216,1.23787,0.66742,0.63091,0.69489,0.48546,1.18434,1.34888,1.24353,0.0018614,0.0018614,0.0018614
16,204.434,1.1857,1.27797,1.23403,0.69121,0.59901,0.70249,0.49654,1.16105,1.30842,1.25381,0.0018515,0.0018515,0.0018515
17,216.871,1.18759,1.24969,1.23976,0.69426,0.63202,0.71039,0.49214,1.18668,1.34634,1.25664,0.0018416,0.0018416,0.0018416
18,229.227,1.18322,1.27487,1.24363,0.70283,0.64265,0.72971,0.51759,1.14642,1.24748,1.24131,0.0018317,0.0018317,0.0018317
