epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3081,1.12952,1.754,1.35463,0.8005,0.66433,0.73931,0.44303,1.36114,1.96726,1.68986,0.000661247,0.000661247,0.000661247
2,42.099,1.30152,1.45928,1.48904,0.45154,0.45515,0.38632,0.18588,1.72804,2.90162,2.06397,0.00132134,0.00132134,0.00132134
3,61.3363,1.3649,1.36032,1.51526,0.55609,0.46478,0.44883,0.1996,1.89909,1.95919,2.12112,0.00197483,0.00197483,0.00197483
4,80.2566,1.3545,1.23966,1.50159,0.75282,0.72979,0.76465,0.44197,1.43396,1.40801,1.75581,0.0019703,0.0019703,0.0019703
5,99.2882,1.29023,1.16061,1.46936,0.74803,0.60589,0.67,0.39991,1.5259,1.40484,1.75574,0.0019604,0.0019604,0.0019604
6,118.258,1.2788,1.11303,1.44052,0.78938,0.61469,0.7013,0.43033,1.57466,1.37231,1.77914,0.0019505,0.0019505,0.0019505
7,137.377,1.25524,1.06824,1.42428,0.65854,0.5585,0.61156,0.35536,1.48443,1.43886,1.72577,0.0019406,0.0019406,0.0019406
8,156.549,1.23711,1.01528,1.43911,0.8418,0.73931,0.8241,0.53336,1.22689,0.99109,1.50998,0.0019307,0.0019307,0.0019307
9,175.687,1.22814,1.03647,1.40914,0.86672,0.73871,0.82295,0.53364,1.24004,1.1455,1.51976,0.0019208,0.0019208,0.0019208
10,194.668,1.16394,0.94191,1.35429,0.86672,0.79084,0.86788,0.57069,1.1903,0.80047,1.45851,0.0019109,0.0019109,0.0019109
11,213.646,1.18944,0.96535,1.39326,0.87807,0.74895,0.85108,0.55156,1.2301,0.81404,1.51337,0.001901,0.001901,0.001901
12,232.413,1.16278,0.92017,1.36756,0.87631,0.74646,0.8236,0.52647,1.32246,0.87803,1.58795,0.0018911,0.0018911,0.0018911
13,251.376,1.14011,0.9299,1.36205,0.85944,0.78146,0.86185,0.56381,1.18877,0.75835,1.46988,0.0018812,0.0018812,0.0018812
14,270.271,1.12785,0.90672,1.34616,0.90404,0.77062,0.87838,0.59068,1.14778,0.72788,1.46753,0.0018713,0.0018713,0.0018713
15,288.983,1.1355,0.89343,1.34507,0.88131,0.81818,0.88366,0.5859,1.14678,0.73914,1.45268,0.0018614,0.0018614,0.0018614
16,307.709,1.13601,0.87569,1.34113,0.84625,0.79862,0.87095,0.57124,1.18935,0.86021,1.50175,0.0018515,0.0018515,0.0018515
17,326.204,1.12189,0.86588,1.34522,0.88074,0.72916,0.83039,0.55707,1.22089,0.90783,1.53133,0.0018416,0.0018416,0.0018416
18,344.851,1.07516,0.82809,1.30215,0.8973,0.78567,0.88549,0.60107,1.10002,0.71264,1.39737,0.0018317,0.0018317,0.0018317
19,363.674,1.11369,0.85188,1.33367,0.89285,0.78507,0.86579,0.57027,1.19864,0.81918,1.42278,0.0018218,0.0018218,0.0018218
20,382.283,1.08731,0.83483,1.30399,0.80649,0.57556,0.67463,0.39291,1.75683,1.36645,1.94822,0.0018119,0.0018119,0.0018119
21,400.996,1.10302,0.83943,1.3202,0.88023,0.76986,0.845,0.56173,1.22028,0.86537,1.51273,0.001802,0.001802,0.001802
22,419.728,1.05076,0.78687,1.28645,0.90049,0.79049,0.87909,0.59553,1.16506,0.72305,1.4242,0.0017921,0.0017921,0.0017921
23,438.263,1.06824,0.81247,1.30254,0.93097,0.8248,0.90546,0.63181,1.06757,0.62448,1.37461,0.0017822,0.0017822,0.0017822
24,456.892,1.0686,0.80287,1.30457,0.91438,0.78326,0.89056,0.62721,1.07351,0.67846,1.37289,0.0017723,0.0017723,0.0017723
25,475.89,1.04,0.76088,1.27692,0.93729,0.8278,0.9074,0.63192,1.06824,0.62741,1.37266,0.0017624,0.0017624,0.0017624
26,494.726,1.06508,0.77413,1.29305,0.90617,0.81986,0.89872,0.60519,1.16885,0.64099,1.41843,0.0017525,0.0017525,0.0017525
27,513.62,1.04142,0.75474,1.2804,0.90996,0.82962,0.90195,0.62304,1.09677,0.67654,1.38262,0.0017426,0.0017426,0.0017426
28,532.412,1.02932,0.74877,1.2723,0.88861,0.78567,0.88288,0.5981,1.15391,0.73218,1.45621,0.0017327,0.0017327,0.0017327
29,551.544,1.03966,0.77568,1.28019,0.9217,0.82842,0.91187,0.63514,1.05217,0.60767,1.37973,0.0017228,0.0017228,0.0017228
30,570.312,1.03298,0.74537,1.27298,0.91458,0.80734,0.89835,0.61621,1.15006,0.65561,1.42396,0.0017129,0.0017129,0.0017129
31,589.032,1.00467,0.72665,1.26602,0.85556,0.79165,0.87624,0.61018,1.12672,0.7638,1.4221,0.001703,0.001703,0.001703
32,607.638,1.03876,0.75749,1.2768,0.85019,0.6773,0.8034,0.54154,1.2238,0.92536,1.53435,0.0016931,0.0016931,0.0016931
