epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.995,1.99511,2.96081,1.92998,0.44181,0.47415,0.40781,0.23134,1.68767,2.06721,1.56277,0.000659176,0.000659176,0.000659176
2,29.2403,1.56225,1.87187,1.49348,0.54012,0.47415,0.50235,0.30138,1.64765,1.98276,1.61556,0.00131928,0.00131928,0.00131928
3,41.9703,1.46617,1.71411,1.42564,0.58373,0.5198,0.57492,0.35376,1.48776,1.63361,1.44685,0.00197278,0.00197278,0.00197278
4,54.5633,1.44561,1.65519,1.40993,0.61493,0.53025,0.59253,0.37405,1.41073,1.60938,1.40049,0.0019703,0.0019703,0.0019703
5,67.239,1.40339,1.56489,1.38525,0.59583,0.57591,0.60149,0.37428,1.47456,1.58698,1.4381,0.0019604,0.0019604,0.0019604
6,79.7289,1.38295,1.54021,1.3715,0.59663,0.60781,0.64263,0.41785,1.33303,1.4578,1.3377,0.0019505,0.0019505,0.0019505
7,92.2677,1.32196,1.46435,1.32912,0.61693,0.59626,0.6397,0.42175,1.35464,1.46496,1.35293,0.0019406,0.0019406,0.0019406
8,104.759,1.29133,1.43172,1.30737,0.60115,0.57426,0.62494,0.41816,1.33561,1.53088,1.36907,0.0019307,0.0019307,0.0019307
9,117.35,1.2996,1.4364,1.31172,0.64018,0.59012,0.66137,0.44689,1.29111,1.49545,1.32554,0.0019208,0.0019208,0.0019208
10,129.953,1.27254,1.40504,1.29919,0.67477,0.62046,0.69401,0.46631,1.26049,1.35004,1.29067,0.0019109,0.0019109,0.0019109
11,142.449,1.25215,1.37407,1.28665,0.66308,0.60515,0.68649,0.46301,1.22185,1.359,1.25161,0.001901,0.001901,0.001901
12,154.901,1.24959,1.37824,1.28127,0.65768,0.62046,0.69148,0.47416,1.21554,1.40084,1.24066,0.0018911,0.0018911,0.0018911
13,167.401,1.24226,1.36024,1.27259,0.69349,0.61354,0.708,0.49107,1.17904,1.31824,1.24891,0.0018812,0.0018812,0.0018812
14,179.89,1.22548,1.33235,1.2621,0.66782,0.62156,0.69385,0.47751,1.20469,1.34628,1.27454,0.0018713,0.0018713,0.0018713
15,192.473,1.19787,1.29258,1.25005,0.6851,0.60616,0.69305,0.47958,1.21495,1.33261,1.27249,0.0018614,0.0018614,0.0018614
16,204.951,1.20836,1.29734,1.24451,0.67372,0.62128,0.69894,0.47405,1.28485,1.31351,1.32991,0.0018515,0.0018515,0.0018515
17,217.449,1.19553,1.26157,1.24848,0.65923,0.63971,0.69788,0.49215,1.19159,1.30781,1.26365,0.0018416,0.0018416,0.0018416
18,229.975,1.20089,1.29545,1.25416,0.69484,0.64356,0.72456,0.50841,1.16087,1.26271,1.25061,0.0018317,0.0018317,0.0018317
19,242.709,1.184,1.28335,1.24514,0.68673,0.60781,0.70033,0.49162,1.16321,1.3012,1.2508,0.0018218,0.0018218,0.0018218
20,255.322,1.17865,1.27662,1.23834,0.67146,0.62651,0.70556,0.48602,1.2282,1.38996,1.26517,0.0018119,0.0018119,0.0018119
21,267.866,1.15877,1.2198,1.21974,0.68767,0.66667,0.72222,0.51862,1.14448,1.24619,1.21593,0.001802,0.001802,0.001802
22,280.315,1.16197,1.22859,1.22343,0.681,0.63971,0.7157,0.50808,1.14231,1.26605,1.22698,0.0017921,0.0017921,0.0017921
23,292.886,1.15578,1.24675,1.22639,0.70843,0.63421,0.7273,0.51648,1.12718,1.21904,1.22768,0.0017822,0.0017822,0.0017822
24,305.628,1.14959,1.21558,1.21488,0.68476,0.65182,0.72172,0.51537,1.14356,1.22203,1.22074,0.0017723,0.0017723,0.0017723
25,318.27,1.15282,1.21131,1.20953,0.70996,0.65182,0.73401,0.52952,1.10327,1.20346,1.18866,0.0017624,0.0017624,0.0017624
26,330.824,1.12781,1.19442,1.19636,0.70729,0.62734,0.71477,0.51082,1.13398,1.25633,1.22314,0.0017525,0.0017525,0.0017525
27,343.432,1.10828,1.17656,1.18624,0.73295,0.65219,0.7444,0.53348,1.12477,1.17682,1.20433,0.0017426,0.0017426,0.0017426
28,355.976,1.11205,1.15515,1.1963,0.72009,0.63538,0.74097,0.53407,1.09023,1.20351,1.21144,0.0017327,0.0017327,0.0017327
29,368.459,1.10907,1.17237,1.19465,0.72108,0.65567,0.74884,0.54152,1.10313,1.191,1.20683,0.0017228,0.0017228,0.0017228
30,380.969,1.11047,1.16034,1.19238,0.71356,0.62761,0.72364,0.51137,1.16422,1.22498,1.2345,0.0017129,0.0017129,0.0017129
31,393.519,1.09022,1.12965,1.179,0.70676,0.65225,0.74433,0.52851,1.13018,1.28519,1.22279,0.001703,0.001703,0.001703
32,406.069,1.09926,1.16233,1.18299,0.69604,0.66392,0.74702,0.53921,1.1044,1.1647,1.20115,0.0016931,0.0016931,0.0016931
33,418.612,1.08109,1.11597,1.17927,0.71673,0.6583,0.74794,0.54345,1.07764,1.14864,1.18369,0.0016832,0.0016832,0.0016832
34,431.025,1.09406,1.14615,1.17862,0.72145,0.65457,0.74051,0.53722,1.10157,1.20117,1.20917,0.0016733,0.0016733,0.0016733
35,443.567,1.08505,1.11077,1.18243,0.6975,0.67547,0.74917,0.53843,1.10336,1.15377,1.22019,0.0016634,0.0016634,0.0016634
36,456.088,1.0949,1.12111,1.187,0.69481,0.66502,0.74257,0.52902,1.11478,1.19323,1.20599,0.0016535,0.0016535,0.0016535
37,468.466,1.08582,1.10844,1.17875,0.70096,0.66612,0.73274,0.5148,1.17936,1.1944,1.2605,0.0016436,0.0016436,0.0016436
38,481.045,1.07898,1.11996,1.17587,0.7098,0.67492,0.74571,0.53829,1.10949,1.16218,1.21473,0.0016337,0.0016337,0.0016337
39,493.455,1.0573,1.10372,1.16128,0.75376,0.64658,0.75612,0.54695,1.08922,1.17686,1.19489,0.0016238,0.0016238,0.0016238
40,505.876,1.08199,1.1236,1.17773,0.69516,0.67052,0.74328,0.53535,1.08642,1.18935,1.19592,0.0016139,0.0016139,0.0016139
41,518.288,1.05258,1.07961,1.15905,0.68334,0.66062,0.73667,0.53778,1.0933,1.17814,1.19591,0.001604,0.001604,0.001604
42,530.822,1.04878,1.08051,1.15438,0.72502,0.66117,0.76025,0.5582,1.07187,1.1148,1.18338,0.0015941,0.0015941,0.0015941
43,543.279,1.04426,1.07423,1.15493,0.71537,0.69307,0.75905,0.54856,1.09667,1.14277,1.19248,0.0015842,0.0015842,0.0015842
44,555.724,1.05007,1.06719,1.14858,0.75147,0.65457,0.75771,0.55217,1.07788,1.14646,1.18668,0.0015743,0.0015743,0.0015743
45,568.199,1.03989,1.04846,1.15462,0.72652,0.68647,0.77164,0.56374,1.0796,1.09864,1.18591,0.0015644,0.0015644,0.0015644
46,580.749,1.05875,1.06676,1.15422,0.7174,0.67712,0.76154,0.55495,1.07976,1.1073,1.19656,0.0015545,0.0015545,0.0015545
47,593.375,1.03307,1.05215,1.14696,0.72749,0.68592,0.77654,0.56713,1.06265,1.08367,1.18754,0.0015446,0.0015446,0.0015446
48,606,1.0391,1.03781,1.14612,0.77586,0.65688,0.77384,0.56577,1.07474,1.08093,1.19775,0.0015347,0.0015347,0.0015347
49,619.079,1.0421,1.03887,1.14947,0.72869,0.64856,0.74487,0.54397,1.09785,1.19081,1.19509,0.0015248,0.0015248,0.0015248
50,631.901,1.03031,1.04107,1.13832,0.73673,0.6942,0.77916,0.56964,1.07517,1.10531,1.19181,0.0015149,0.0015149,0.0015149
51,644.804,1.05054,1.07166,1.14778,0.73716,0.67108,0.76564,0.55825,1.08653,1.09876,1.19462,0.001505,0.001505,0.001505
52,657.786,1.03098,1.04494,1.14596,0.77593,0.65145,0.77182,0.56427,1.06594,1.09182,1.18451,0.0014951,0.0014951,0.0014951
53,670.679,1.02089,1.0278,1.13663,0.70808,0.69747,0.76498,0.55281,1.08958,1.12425,1.17311,0.0014852,0.0014852,0.0014852
54,683.479,1.02761,1.02384,1.13209,0.75604,0.66667,0.76781,0.56268,1.0691,1.11545,1.17546,0.0014753,0.0014753,0.0014753
55,696.434,1.00392,1.02296,1.13264,0.74691,0.6834,0.77562,0.57183,1.04897,1.09019,1.18112,0.0014654,0.0014654,0.0014654
56,709.363,1.00967,0.99227,1.12847,0.72447,0.69637,0.7728,0.56884,1.05172,1.0846,1.17689,0.0014555,0.0014555,0.0014555
57,722.246,1.00749,1.01709,1.12396,0.73083,0.66942,0.76096,0.55835,1.08115,1.13858,1.18658,0.0014456,0.0014456,0.0014456
