epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.5393,1.16487,1.77985,1.39573,0.66516,0.59843,0.63337,0.36023,1.49525,2.1245,1.73691,0.000661247,0.000661247,0.000661247
2,57.2878,1.29774,1.43319,1.47975,0.51926,0.52619,0.4954,0.25105,1.60811,2.11329,1.97627,0.00132134,0.00132134,0.00132134
3,82.4631,1.39805,1.40705,1.5424,0.68069,0.59001,0.63253,0.3513,1.5671,1.48834,1.87522,0.00197483,0.00197483,0.00197483
4,107.68,1.37033,1.28669,1.5231,0.72911,0.56773,0.64806,0.34851,1.73053,1.54362,1.91063,0.0019703,0.0019703,0.0019703
5,133.479,1.34778,1.19873,1.50587,0.47446,0.42069,0.37476,0.18323,1.85404,2.02703,2.09234,0.0019604,0.0019604,0.0019604
6,158.96,1.28827,1.12483,1.45539,0.81838,0.75689,0.82926,0.51278,1.27598,1.0444,1.57431,0.0019505,0.0019505,0.0019505
7,184.19,1.25536,1.08869,1.43609,0.65827,0.54365,0.59393,0.33241,1.66785,1.52296,1.95313,0.0019406,0.0019406,0.0019406
8,209.395,1.23948,1.05532,1.4283,0.87641,0.73269,0.8245,0.53575,1.27469,0.87724,1.5463,0.0019307,0.0019307,0.0019307
9,234.991,1.19467,0.99578,1.39666,0.8413,0.74042,0.82251,0.51743,1.30564,1.16536,1.57495,0.0019208,0.0019208,0.0019208
10,260.366,1.18672,0.98064,1.398,0.85608,0.72426,0.82077,0.53759,1.25186,0.90254,1.52436,0.0019109,0.0019109,0.0019109
11,285.711,1.20625,0.98159,1.39919,0.86215,0.71764,0.8279,0.52977,1.26505,0.92517,1.53821,0.001901,0.001901,0.001901
12,311.461,1.17455,0.95165,1.3742,0.88004,0.75617,0.83769,0.5664,1.16959,0.86532,1.48991,0.0018911,0.0018911,0.0018911
13,336.824,1.13322,0.90461,1.34054,0.90009,0.77544,0.85096,0.5751,1.19421,0.79708,1.49097,0.0018812,0.0018812,0.0018812
14,362.088,1.14235,0.91121,1.3675,0.89372,0.77724,0.8791,0.59035,1.1304,0.74738,1.42539,0.0018713,0.0018713,0.0018713
15,387.555,1.1514,0.90902,1.35454,0.84604,0.76821,0.82355,0.55801,1.15379,0.83182,1.46075,0.0018614,0.0018614,0.0018614
16,413.1,1.12721,0.88039,1.34438,0.90456,0.80915,0.88882,0.61856,1.11609,0.71311,1.39592,0.0018515,0.0018515,0.0018515
17,438.642,1.1209,0.85393,1.33418,0.91167,0.79771,0.88531,0.59367,1.19373,0.75279,1.47116,0.0018416,0.0018416,0.0018416
18,463.808,1.09257,0.84255,1.33108,0.90484,0.78423,0.87508,0.58992,1.18061,0.74898,1.44095,0.0018317,0.0018317,0.0018317
19,489.255,1.09257,0.84811,1.31987,0.89063,0.80132,0.88439,0.60256,1.14577,0.69056,1.42701,0.0018218,0.0018218,0.0018218
20,514.434,1.08951,0.79561,1.31615,0.91066,0.76641,0.87934,0.5913,1.15659,0.72344,1.44663,0.0018119,0.0018119,0.0018119
21,539.722,1.0978,0.84209,1.31442,0.87874,0.74834,0.83437,0.54064,1.30045,0.86854,1.57853,0.001802,0.001802,0.001802
22,564.882,1.07638,0.80696,1.30785,0.90243,0.8353,0.90396,0.61094,1.10446,0.66369,1.39722,0.0017921,0.0017921,0.0017921
23,590.306,1.09957,0.84064,1.32674,0.90719,0.76159,0.86403,0.5943,1.10916,0.7895,1.42061,0.0017822,0.0017822,0.0017822
24,615.731,1.06927,0.81345,1.2981,0.93159,0.80347,0.89459,0.61972,1.09808,0.6615,1.40976,0.0017723,0.0017723,0.0017723
25,641.236,1.06249,0.7992,1.29975,0.89183,0.78567,0.88453,0.60202,1.12909,0.71115,1.44642,0.0017624,0.0017624,0.0017624
26,666.861,1.06466,0.82095,1.30025,0.93498,0.81939,0.90863,0.63641,1.07304,0.62595,1.37055,0.0017525,0.0017525,0.0017525
27,692.202,1.04023,0.77203,1.28013,0.91746,0.83649,0.90194,0.62295,1.11803,0.65866,1.38251,0.0017426,0.0017426,0.0017426
28,717.528,1.03881,0.76137,1.28676,0.91001,0.81698,0.9006,0.62496,1.08512,0.66429,1.38645,0.0017327,0.0017327,0.0017327
29,742.755,1.03437,0.76695,1.28565,0.92234,0.80313,0.8973,0.63323,1.05342,0.63355,1.36721,0.0017228,0.0017228,0.0017228
30,768.118,1.04571,0.78337,1.28354,0.93345,0.81818,0.91018,0.61584,1.14688,0.67875,1.40665,0.0017129,0.0017129,0.0017129
31,793.496,1.03793,0.76789,1.27356,0.91198,0.79844,0.89124,0.60884,1.1434,0.6992,1.41927,0.001703,0.001703,0.001703
32,818.948,1.02874,0.75314,1.2658,0.91756,0.82601,0.91165,0.64139,1.04315,0.60911,1.35564,0.0016931,0.0016931,0.0016931
33,844.381,1.02868,0.75461,1.27292,0.93063,0.83323,0.92025,0.63677,1.11831,0.61001,1.37788,0.0016832,0.0016832,0.0016832
34,870,1.02298,0.73882,1.2701,0.92186,0.85945,0.92948,0.64553,1.09502,0.59737,1.37274,0.0016733,0.0016733,0.0016733
35,895.467,1.00325,0.736,1.26529,0.89965,0.78801,0.88377,0.61507,1.12492,0.69162,1.39048,0.0016634,0.0016634,0.0016634
36,920.662,0.99672,0.71755,1.25432,0.93261,0.85852,0.92694,0.65575,1.01427,0.56837,1.32224,0.0016535,0.0016535,0.0016535
37,945.98,0.98215,0.69668,1.2418,0.91653,0.81972,0.90136,0.61989,1.16508,0.64244,1.41006,0.0016436,0.0016436,0.0016436
38,971.232,1.01147,0.72804,1.27233,0.9198,0.8537,0.92614,0.65039,1.07205,0.56883,1.34697,0.0016337,0.0016337,0.0016337
39,996.517,1.00034,0.71215,1.24765,0.92469,0.84648,0.92092,0.6441,1.06705,0.58312,1.365,0.0016238,0.0016238,0.0016238
40,1021.72,0.99607,0.72492,1.25079,0.94329,0.82059,0.9092,0.64525,1.0872,0.5973,1.37006,0.0016139,0.0016139,0.0016139
41,1047.3,0.98162,0.69746,1.24869,0.92482,0.82948,0.91565,0.64419,1.07647,0.59532,1.37749,0.001604,0.001604,0.001604
42,1072.49,0.99677,0.69275,1.25024,0.92172,0.85551,0.93013,0.6554,1.0651,0.57385,1.35749,0.0015941,0.0015941,0.0015941
43,1097.9,1.00578,0.72108,1.26012,0.90363,0.86938,0.93031,0.6455,1.08966,0.58972,1.38672,0.0015842,0.0015842,0.0015842
44,1123.22,0.9711,0.68085,1.23679,0.93104,0.86154,0.92938,0.65211,1.08801,0.57579,1.34514,0.0015743,0.0015743,0.0015743
