epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.9677,1.59027,2.10563,1.2196,0.82831,0.5327,0.62518,0.33555,1.47183,1.28065,1.02697,0.00332036,0.00332036,0.00332036
2,84.6854,1.55534,1.42042,1.15914,0.77379,0.54226,0.61519,0.33538,1.47958,1.14997,1.06536,0.00662076,0.00662076,0.00662076
3,125.249,1.57987,1.33345,1.1702,0.69432,0.50239,0.54267,0.28334,1.53543,1.27051,1.10477,0.00988816,0.00988816,0.00988816
4,165.741,1.64024,1.32421,1.20393,0.734,0.47368,0.5594,0.30615,1.49569,1.19703,1.08404,0.0098515,0.0098515,0.0098515
5,206.12,1.63327,1.24864,1.20022,0.66117,0.55183,0.60258,0.34234,1.43144,1.05675,1.05181,0.009802,0.009802,0.009802
6,246.518,1.60946,1.19127,1.18699,0.77081,0.57416,0.64083,0.36824,1.37443,0.99696,1.04784,0.0097525,0.0097525,0.0097525
7,286.821,1.56425,1.14271,1.17203,0.73346,0.56778,0.6231,0.35776,1.40928,1.02495,1.06038,0.009703,0.009703,0.009703
8,327.19,1.54708,1.11014,1.16653,0.81918,0.59249,0.67457,0.37846,1.38568,0.89799,1.03504,0.0096535,0.0096535,0.0096535
9,367.645,1.52704,1.08117,1.15593,0.74178,0.61882,0.67247,0.38942,1.32406,0.88402,1.03249,0.009604,0.009604,0.009604
10,408.121,1.51022,1.04297,1.15206,0.83446,0.60606,0.7129,0.40211,1.33537,0.82042,1.02494,0.0095545,0.0095545,0.0095545
11,448.47,1.49826,1.02543,1.14193,0.83368,0.61557,0.70009,0.39911,1.32246,0.83047,1.0166,0.009505,0.009505,0.009505
12,488.813,1.46744,1.01073,1.13337,0.81628,0.63068,0.71401,0.42469,1.27017,0.79516,1.00923,0.0094555,0.0094555,0.0094555
13,529.114,1.47104,0.99715,1.13038,0.83668,0.62098,0.69784,0.41632,1.2919,0.78892,1.01139,0.009406,0.009406,0.009406
14,569.459,1.45986,0.98752,1.12853,0.79091,0.62998,0.69916,0.40428,1.26346,0.83789,1.03473,0.0093565,0.0093565,0.0093565
15,609.89,1.43781,0.96741,1.12114,0.84723,0.61404,0.72915,0.43671,1.23895,0.76706,1.00993,0.009307,0.009307,0.009307
16,650.176,1.42735,0.94994,1.11608,0.80605,0.64274,0.72251,0.43669,1.22074,0.76174,0.99964,0.0092575,0.0092575,0.0092575
17,690.621,1.40834,0.93151,1.10901,0.83706,0.63158,0.70934,0.41679,1.31809,0.79617,1.00947,0.009208,0.009208,0.009208
18,731.003,1.40925,0.92006,1.1076,0.79169,0.66676,0.72643,0.43442,1.21984,0.7441,0.99594,0.0091585,0.0091585,0.0091585
19,771.395,1.40424,0.91558,1.10724,0.79642,0.66138,0.72251,0.43673,1.24856,0.75573,1.01098,0.009109,0.009109,0.009109
20,811.756,1.37963,0.89503,1.09847,0.8436,0.61882,0.71074,0.42659,1.2217,0.76049,1.00437,0.0090595,0.0090595,0.0090595
21,852,1.37817,0.89481,1.09454,0.84359,0.67305,0.74481,0.4568,1.18063,0.70748,0.98385,0.00901,0.00901,0.00901
22,892.39,1.36386,0.88244,1.08975,0.85038,0.66348,0.74383,0.44921,1.22436,0.71117,0.99856,0.0089605,0.0089605,0.0089605
23,932.717,1.36347,0.87444,1.0814,0.83763,0.66826,0.74823,0.45941,1.19592,0.69265,0.98975,0.008911,0.008911,0.008911
24,973.019,1.34247,0.86247,1.07895,0.83408,0.64944,0.75662,0.46346,1.19218,0.71111,0.98623,0.0088615,0.0088615,0.0088615
25,1013.39,1.34881,0.85923,1.08018,0.83181,0.69219,0.75504,0.45576,1.18408,0.70056,0.98201,0.008812,0.008812,0.008812
26,1053.89,1.34513,0.85584,1.07993,0.81389,0.70445,0.74989,0.46276,1.16112,0.69404,0.98041,0.0087625,0.0087625,0.0087625
27,1094.2,1.33557,0.85267,1.07601,0.90252,0.65869,0.75929,0.46504,1.17081,0.6733,0.97822,0.008713,0.008713,0.008713
28,1134.59,1.32703,0.84102,1.07433,0.7959,0.72089,0.76234,0.46975,1.17904,0.67981,0.98221,0.0086635,0.0086635,0.0086635
29,1175.01,1.31794,0.82577,1.06576,0.8865,0.66826,0.76644,0.46908,1.16947,0.66742,0.97154,0.008614,0.008614,0.008614
30,1215.35,1.31104,0.82796,1.06823,0.83225,0.67783,0.7627,0.46793,1.16434,0.66788,0.97751,0.0085645,0.0085645,0.0085645
