epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7329,1.95808,2.85419,1.88638,0.48097,0.4703,0.43709,0.24943,1.67049,2.02446,1.54297,0.000659176,0.000659176,0.000659176
2,43.5087,1.54727,1.80807,1.47696,0.54956,0.50803,0.53432,0.31918,1.5747,1.74157,1.51426,0.00131928,0.00131928,0.00131928
3,62.8041,1.44492,1.65293,1.40823,0.62052,0.5418,0.59512,0.37535,1.44549,1.61403,1.40647,0.00197278,0.00197278,0.00197278
4,81.9173,1.42554,1.601,1.38638,0.60973,0.5396,0.5932,0.36988,1.53545,1.69035,1.51812,0.0019703,0.0019703,0.0019703
5,101.102,1.37553,1.50768,1.35992,0.62746,0.57921,0.62802,0.39618,1.42744,1.53774,1.37594,0.0019604,0.0019604,0.0019604
6,120.64,1.35536,1.49639,1.34647,0.60354,0.61166,0.63621,0.41168,1.35489,1.49621,1.35123,0.0019505,0.0019505,0.0019505
7,140.4,1.29806,1.43248,1.31393,0.64722,0.58429,0.65101,0.43993,1.26563,1.44513,1.29669,0.0019406,0.0019406,0.0019406
8,160.286,1.27344,1.39499,1.2962,0.65237,0.57908,0.64504,0.44314,1.29942,1.4563,1.33051,0.0019307,0.0019307,0.0019307
9,179.875,1.27219,1.38671,1.29908,0.64757,0.61854,0.6841,0.46221,1.26366,1.46169,1.29105,0.0019208,0.0019208,0.0019208
10,199.16,1.25629,1.36692,1.28847,0.68336,0.61731,0.70257,0.48443,1.21386,1.36565,1.25931,0.0019109,0.0019109,0.0019109
11,218.39,1.22411,1.32936,1.26499,0.67232,0.60781,0.68649,0.46182,1.26692,1.32642,1.29407,0.001901,0.001901,0.001901
12,237.553,1.23798,1.33595,1.27263,0.65867,0.60506,0.68506,0.46335,1.2312,1.48011,1.27721,0.0018911,0.0018911,0.0018911
13,256.572,1.21828,1.31639,1.26429,0.66115,0.63366,0.70154,0.48074,1.22031,1.3132,1.28475,0.0018812,0.0018812,0.0018812
14,275.694,1.19918,1.30017,1.24638,0.65879,0.62926,0.70397,0.49203,1.18151,1.31592,1.26197,0.0018713,0.0018713,0.0018713
15,294.894,1.17078,1.2445,1.23203,0.64984,0.63916,0.69747,0.48785,1.17437,1.57366,1.24961,0.0018614,0.0018614,0.0018614
16,314.028,1.18319,1.25133,1.232,0.69868,0.59818,0.70514,0.48546,1.21596,1.31942,1.29665,0.0018515,0.0018515,0.0018515
17,333.394,1.18922,1.23899,1.24214,0.6787,0.64246,0.71486,0.50643,1.16776,1.29042,1.23719,0.0018416,0.0018416,0.0018416
18,352.661,1.17609,1.25491,1.23341,0.70302,0.63256,0.7197,0.50959,1.1571,1.23607,1.23717,0.0018317,0.0018317,0.0018317
19,371.829,1.16255,1.23748,1.22747,0.65572,0.64631,0.70305,0.49062,1.17177,1.31446,1.23997,0.0018218,0.0018218,0.0018218
20,390.933,1.16579,1.24387,1.22985,0.68115,0.62513,0.70795,0.49582,1.19787,1.63175,1.25203,0.0018119,0.0018119,0.0018119
21,410.43,1.13907,1.18621,1.20588,0.69016,0.64961,0.7287,0.52094,1.13917,1.2221,1.21978,0.001802,0.001802,0.001802
22,429.485,1.14328,1.18152,1.21067,0.66814,0.65671,0.71778,0.51221,1.118,1.23849,1.21511,0.0017921,0.0017921,0.0017921
23,448.738,1.12228,1.19349,1.2008,0.7066,0.64912,0.72891,0.51849,1.13584,1.21177,1.22915,0.0017822,0.0017822,0.0017822
24,468.285,1.12754,1.18604,1.19851,0.71919,0.63311,0.73879,0.5223,1.15772,1.19448,1.23152,0.0017723,0.0017723,0.0017723
25,487.889,1.12644,1.1656,1.19725,0.74282,0.64184,0.74722,0.53545,1.1426,1.18661,1.22436,0.0017624,0.0017624,0.0017624
26,506.987,1.10283,1.16157,1.18583,0.69336,0.65897,0.72554,0.51644,1.14472,1.22365,1.24728,0.0017525,0.0017525,0.0017525
27,526.213,1.08946,1.13852,1.17934,0.66547,0.69692,0.73113,0.52304,1.14972,1.20058,1.23318,0.0017426,0.0017426,0.0017426
